Temperature[C],Humidity[%],Pressure[hPa],CO(V),Fire Alarm
27.02,47.23,938.922,0.52,1
27.05,47.19,938.905,0.435,1
27.09,47.14,938.896,0.529,1
27.08,47.08,938.91,0.149,1
27.11,47.04,938.916,0.711,1
27.12,47.01,938.907,0.779,1
27.14,46.98,938.917,0.75,1
27.14,46.94,938.925,0.667,1
27.16,46.91,938.922,0.779,1
27.16,46.84,938.916,0.478,1
25.99,46.78,938.917,0.754,1
25.62,47.59,938.915,0.256,1
25.4,48.42,938.915,0.128,1
25.3,49.18,938.917,0.079,1
25.2,49.85,938.914,0.628,1
25.14,50.39,938.923,0.136,1
25.06,50.77,938.921,0.985,1
25.0,51.14,938.912,0.77,1
24.99,51.42,938.913,0.538,1
24.92,51.7,938.912,0.549,1
24.86,51.88,938.924,0.579,1
24.82,52.08,938.922,0.355,1
24.8,52.21,938.92,0.339,1
24.79,52.34,938.921,0.209,1
24.73,52.44,938.907,0.153,1
24.72,52.54,938.906,0.151,1
24.69,52.66,938.902,0.049,1
24.68,52.73,938.906,0.946,1
24.65,52.8,938.908,0.856,1
24.65,52.86,938.909,0.728,1
24.61,52.92,938.914,0.721,1
24.61,53.0,938.921,0.903,1
24.58,53.01,938.93,0.979,1
24.55,53.05,938.928,0.55,1
24.55,53.12,938.924,0.858,1
24.52,53.15,938.928,0.176,1
24.51,53.23,938.934,0.042,1
24.49,53.28,938.936,0.657,1
24.51,53.34,938.927,0.351,1
24.47,53.36,938.923,0.147,1
25.71,53.38,938.918,0.685,1
26.06,52.62,938.921,0.058,1
26.25,51.71,938.917,0.824,1
26.36,50.85,938.918,0.326,1
26.44,50.22,938.934,0.761,1
26.53,49.67,938.928,0.404,1
26.57,49.24,938.912,0.089,1
26.64,48.88,938.915,0.039,1
26.68,48.59,938.913,0.092,1
26.72,48.42,938.903,0.842,1
26.78,48.19,938.91,0.536,1
26.81,48.02,938.915,0.87,1
26.85,47.89,938.91,0.713,1
26.88,47.76,938.914,0.547,1
26.9,47.65,938.923,0.824,1
26.91,47.54,938.916,0.92,1
26.95,47.54,938.912,0.509,1
26.95,47.42,938.922,0.319,1
26.98,47.38,938.925,0.751,1
27.01,47.3,938.932,0.073,1
27.02,47.27,938.939,0.134,1
27.04,47.26,938.935,0.346,1
27.04,47.18,938.943,0.021,1
27.08,47.17,938.933,0.477,1
27.09,47.11,938.936,0.126,1
27.11,47.1,938.937,0.044,1
27.11,47.07,938.936,0.238,1
27.12,46.98,938.944,0.675,1
27.12,46.98,938.931,0.866,1
27.16,46.93,938.933,0.515,1
25.99,46.92,938.946,0.617,1
25.57,47.63,938.941,0.244,1
25.38,48.46,938.947,0.254,1
25.3,49.23,938.939,0.075,1
25.2,49.87,938.939,0.742,1
25.12,50.41,938.942,0.849,1
25.03,50.83,938.94,0.316,1
24.98,51.19,938.923,0.454,1
24.95,51.45,938.928,0.753,1
24.87,51.73,938.919,0.295,1
24.83,51.91,938.916,0.727,1
24.85,52.11,938.916,0.532,1
24.79,52.24,938.911,0.365,1
24.75,52.38,938.907,0.935,1
24.73,52.51,938.909,0.403,1
24.71,52.58,938.912,0.769,1
24.66,52.71,938.922,0.377,1
24.64,52.78,938.916,0.947,1
24.65,52.84,938.92,0.343,1
24.58,52.92,938.922,0.85,1
24.59,52.97,938.929,0.804,1
24.57,53.05,938.932,0.342,1
24.52,53.13,938.936,0.541,1
24.54,53.17,938.934,0.475,1
24.52,53.22,938.929,0.767,1
24.49,53.32,938.92,0.341,1
24.47,53.35,938.904,0.865,1
24.48,53.37,938.919,0.374,1
24.47,53.42,938.918,0.752,1
24.44,53.44,938.913,0.554,1
25.68,53.49,938.917,0.649,1
26.02,52.74,938.915,0.271,1
26.2,51.78,938.916,0.969,1
26.32,50.97,938.909,0.818,1
26.43,50.28,938.914,0.063,1
26.5,49.73,938.92,0.248,1
26.56,49.3,938.917,0.067,1
26.63,48.91,938.911,0.021,1
26.68,48.7,938.904,0.653,1
26.69,48.42,938.918,0.794,1
26.75,48.21,938.923,0.903,1
26.78,48.1,938.92,0.282,1
26.84,47.94,938.92,0.197,1
26.85,47.82,938.928,0.146,1
26.88,47.7,938.918,0.665,1
26.92,47.62,938.919,0.565,1
26.94,47.5,938.917,0.351,1
26.96,47.47,938.916,0.808,1
26.99,47.39,938.917,0.97,1
27.01,47.33,938.913,0.247,1
27.01,47.32,938.914,0.092,1
27.04,47.21,938.922,0.445,1
27.05,47.2,938.918,0.262,1
27.05,47.16,938.922,0.892,1
27.06,47.11,938.924,0.445,1
27.11,47.02,938.926,0.508,1
27.09,47.02,938.913,0.848,1
27.12,46.99,938.912,0.264,1
27.14,46.95,938.91,0.819,1
27.14,46.92,938.913,0.34,1
25.99,46.94,938.907,0.12,1
25.58,47.66,938.903,0.317,1
25.38,48.5,938.897,0.218,1
25.26,49.29,938.897,0.321,1
25.17,49.93,938.894,0.998,1
25.09,50.44,938.891,0.378,1
25.05,50.88,938.908,0.89,1
24.99,51.2,938.909,0.775,1
24.92,51.54,938.904,0.222,1
24.87,51.71,938.902,0.4,1
24.82,51.95,938.903,0.807,1
24.8,52.12,938.902,0.071,1
24.76,52.3,938.911,0.29,1
24.71,52.42,938.911,0.33,1
24.73,52.55,938.915,0.742,1
24.68,52.65,938.924,0.077,1
24.65,52.73,938.916,0.107,1
24.65,52.84,938.911,0.874,1
24.61,52.92,938.908,0.501,1
24.58,52.96,938.905,0.862,1
24.57,53.04,938.9,0.317,1
24.57,53.08,938.897,0.046,1
24.55,53.14,938.905,0.192,1
24.54,53.23,938.905,0.18,1
24.51,53.27,938.909,0.404,1
24.49,53.24,938.913,0.397,1
24.51,53.33,938.903,0.412,1
24.47,53.4,938.914,0.836,1
24.47,53.43,938.913,0.23,1
24.44,53.45,938.917,0.86,1
25.68,53.47,938.911,0.804,1
26.02,52.71,938.922,0.717,1
26.2,51.79,938.916,0.098,1
26.33,50.94,938.92,0.619,1
26.39,50.33,938.92,0.935,1
26.5,49.79,938.917,0.188,1
26.54,49.36,938.925,0.285,1
26.61,49.04,938.917,0.241,1
26.67,48.71,938.901,0.715,1
26.71,48.5,938.904,0.976,1
26.75,48.34,938.902,0.936,1
26.78,48.19,938.897,0.059,1
26.84,48.04,938.906,0.519,1
26.85,47.88,938.913,0.811,1
26.87,47.82,938.915,0.001,1
26.9,47.7,938.912,0.266,1
26.95,47.61,938.913,0.286,1
26.96,47.54,938.911,0.391,1
26.99,47.47,938.907,0.654,1
27.01,47.41,938.905,0.536,1
27.04,47.3,938.91,0.978,1
27.05,47.29,938.903,0.741,1
27.06,47.21,938.911,0.713,1
27.08,47.22,938.915,0.107,1
27.11,47.15,938.918,0.045,1
27.11,47.14,938.92,0.411,1
27.14,47.08,938.911,0.646,1
27.12,47.04,938.914,0.071,1
27.15,47.0,938.909,0.365,1
27.15,46.94,938.909,0.734,1
26.0,46.92,938.901,0.973,1
25.58,47.62,938.911,0.084,1
25.4,48.51,938.914,0.826,1
25.27,49.3,938.914,0.047,1
25.17,49.94,938.913,0.864,1
25.09,50.46,938.91,0.385,1
25.05,50.9,938.907,0.226,1
24.99,51.27,938.898,0.229,1
24.92,51.55,938.897,0.759,1
24.87,51.78,938.896,0.042,1
24.85,51.94,938.896,0.588,1
24.79,52.16,938.893,0.806,1
24.78,52.27,938.9,0.62,1
24.73,52.45,938.899,0.904,1
24.73,52.54,938.895,0.127,1
24.69,52.65,938.884,0.086,1
24.69,52.69,938.898,0.42,1
24.65,52.78,938.912,0.799,1
24.62,52.9,938.924,0.619,1
24.61,52.98,938.922,0.118,1
24.58,53.05,938.92,0.298,1
24.57,53.11,938.912,0.283,1
24.55,53.14,938.904,0.205,1
24.54,53.14,938.913,0.416,1
24.54,53.19,938.916,0.565,1
24.52,53.31,938.91,0.608,1
24.49,53.29,938.911,0.104,1
24.48,53.34,938.897,0.753,1
24.47,53.37,938.895,0.829,1
24.47,53.44,938.902,0.351,1
25.71,53.49,938.905,0.886,1
26.05,52.7,938.896,0.703,1
26.22,51.77,938.897,0.566,1
26.35,50.91,938.907,0.629,1
26.43,50.29,938.913,0.063,1
26.51,49.75,938.906,0.352,1
26.58,49.27,938.905,0.834,1
26.64,48.91,938.903,0.511,1
26.67,48.68,938.907,0.265,1
26.72,48.44,938.901,0.363,1
26.77,48.23,938.893,0.079,1
26.77,48.09,938.893,0.024,1
26.84,47.95,938.891,0.423,1
26.85,47.83,938.901,0.258,1
26.88,47.75,938.908,0.969,1
26.91,47.64,938.905,0.349,1
26.94,47.59,938.896,0.487,1
26.96,47.55,938.902,0.127,1
26.99,47.42,938.903,0.041,1
26.98,47.38,938.892,0.356,1
26.99,47.31,938.889,0.857,1
27.02,47.27,938.898,0.874,1
27.06,47.23,938.901,0.421,1
27.06,47.18,938.906,0.621,1
27.11,47.12,938.908,0.961,1
27.09,47.05,938.91,0.379,1
27.12,47.02,938.913,0.696,1
27.12,47.01,938.912,0.111,1
27.12,47.0,938.915,0.99,1
27.15,46.94,938.914,0.747,1
25.98,46.92,938.912,0.366,1
25.6,47.66,938.908,0.493,1
25.4,48.53,938.907,0.107,1
25.3,49.31,938.914,0.99,1
25.19,49.98,938.902,0.779,1
25.1,50.46,938.907,0.476,1
25.05,50.83,938.903,0.572,1
24.99,51.21,938.896,0.744,1
24.95,51.53,938.912,0.426,1
24.89,51.72,938.907,0.185,1
24.86,51.93,938.909,0.929,1
24.82,52.14,938.913,0.165,1
24.78,52.28,938.922,0.255,1
24.78,52.42,938.917,0.429,1
24.71,52.5,938.922,0.254,1
24.72,52.64,938.915,0.141,1
24.69,52.71,938.909,0.585,1
24.66,52.79,938.912,0.218,1
24.64,52.87,938.912,0.043,1
24.62,52.96,938.909,0.722,1
24.58,52.98,938.922,0.115,1
24.58,53.03,938.927,0.978,1
24.58,53.11,938.926,0.496,1
24.55,53.19,938.927,0.68,1
24.54,53.23,938.92,0.457,1
24.49,53.28,938.915,0.111,1
24.49,53.3,938.905,0.466,1
24.51,53.36,938.898,0.845,1
24.48,53.4,938.9,0.744,1
24.48,53.44,938.892,0.173,1
25.7,53.46,938.9,0.109,1
26.06,52.67,938.891,0.033,1
26.25,51.76,938.898,0.408,1
26.36,50.91,938.903,0.637,1
26.41,50.28,938.902,0.878,1
26.5,49.75,938.907,0.509,1
26.56,49.27,938.899,0.054,1
26.63,48.98,938.896,0.811,1
26.67,48.71,938.895,0.543,1
26.72,48.43,938.887,0.092,1
26.77,48.24,938.886,0.971,1
26.83,48.11,938.88,0.588,1
26.83,47.97,938.888,0.612,1
26.87,47.79,938.89,0.138,1
26.9,47.73,938.907,0.924,1
26.91,47.64,938.917,0.364,1
26.91,47.57,938.911,0.023,1
26.98,47.49,938.909,0.247,1
26.95,47.43,938.909,0.472,1
26.99,47.37,938.902,0.777,1
27.02,47.29,938.897,0.02,1
27.04,47.27,938.901,0.836,1
27.05,47.23,938.914,0.586,1
27.05,47.21,938.92,0.485,1
27.06,47.11,938.909,0.727,1
27.08,47.06,938.901,0.81,1
27.11,47.06,938.893,0.8,1
27.12,47.03,938.889,0.604,1
27.15,47.0,938.894,0.941,1
27.15,46.95,938.908,0.585,1
25.99,46.91,938.891,0.044,1
25.6,47.68,938.891,0.34,1
25.4,48.52,938.901,0.658,1
25.28,49.33,938.914,0.929,1
25.17,49.94,938.909,0.569,1
25.1,50.43,938.907,0.513,1
25.05,50.87,938.901,0.143,1
24.98,51.21,938.904,0.045,1
24.93,51.53,938.902,0.814,1
24.9,51.73,938.906,0.237,1
24.83,51.91,938.903,0.715,1
24.78,52.15,938.891,0.791,1
24.78,52.3,938.9,0.737,1
24.75,52.42,938.903,0.686,1
24.72,52.55,938.898,0.227,1
24.71,52.65,938.905,0.324,1
24.69,52.74,938.907,0.154,1
24.64,52.83,938.903,0.061,1
24.64,52.89,938.904,0.88,1
24.61,52.91,938.901,0.249,1
24.59,53.02,938.908,0.87,1
24.57,53.09,938.901,0.37,1
24.55,53.14,938.908,0.884,1
24.54,53.17,938.92,0.312,1
24.52,53.23,938.922,0.549,1
24.49,53.28,938.923,0.899,1
24.51,53.34,938.915,0.686,1
24.47,53.39,938.914,0.806,1
24.47,53.39,938.914,0.098,1
24.44,53.46,938.923,0.495,1
25.68,53.45,938.916,0.109,1
26.02,52.71,938.906,0.42,1
26.23,51.73,938.912,0.398,1
26.33,50.92,938.904,0.554,1
26.41,50.22,938.909,0.519,1
26.48,49.72,938.918,0.452,1
26.56,49.27,938.917,0.168,1
26.63,48.95,938.919,0.916,1
26.67,48.67,938.912,0.497,1
26.69,48.42,938.917,0.769,1
26.77,48.28,938.913,0.458,1
26.8,48.08,938.909,0.879,1
26.84,47.93,938.901,0.896,1
26.85,47.8,938.911,0.29,1
26.9,47.72,938.924,0.845,1
26.94,47.64,938.915,0.285,1
26.95,47.58,938.917,0.89,1
26.96,47.5,938.916,0.302,1
26.96,47.42,938.908,0.904,1
27.01,47.36,938.901,0.045,1
27.02,47.31,938.898,0.852,1
27.02,47.27,938.897,0.191,1
27.04,47.23,938.894,0.331,1
27.06,47.15,938.897,0.365,1
27.08,47.11,938.895,0.456,1
27.09,47.07,938.896,0.672,1
27.12,47.03,938.904,0.972,1
27.14,47.0,938.904,0.532,1
27.18,46.95,938.904,0.469,1
27.15,46.94,938.894,0.104,1
25.99,46.91,938.907,0.382,1
25.58,47.65,938.906,0.265,1
25.38,48.49,938.905,0.762,1
25.28,49.27,938.899,0.98,1
25.22,49.91,938.9,0.125,1
25.1,50.43,938.894,0.393,1
25.06,50.83,938.903,0.548,1
24.99,51.19,938.902,0.756,1
24.93,51.48,938.891,0.457,1
24.92,51.75,938.882,0.834,1
24.86,51.95,938.885,0.185,1
24.85,52.09,938.892,0.067,1
24.79,52.25,938.894,0.693,1
24.75,52.38,938.891,0.526,1
24.73,52.5,938.893,0.24,1
24.72,52.6,938.894,0.996,1
24.69,52.68,938.895,0.223,1
24.68,52.79,938.898,0.977,1
24.64,52.86,938.898,0.553,1
24.61,52.93,938.902,0.04,1
24.59,52.94,938.884,0.651,1
24.58,53.01,938.891,0.686,1
24.55,53.1,938.9,0.394,1
24.54,53.14,938.904,0.196,1
24.55,53.25,938.909,0.321,1
24.52,53.23,938.908,0.524,1
24.49,53.28,938.903,0.316,1
24.47,53.34,938.903,0.944,1
24.45,53.36,938.906,0.77,1
24.47,53.38,938.906,0.539,1
25.7,53.41,938.913,0.457,1
26.05,52.67,938.908,0.11,1
26.23,51.77,938.914,0.804,1
26.35,50.93,938.914,0.455,1
26.44,50.23,938.916,0.617,1
26.53,49.72,938.913,0.073,1
26.58,49.29,938.912,0.886,1
26.65,48.95,938.903,0.075,1
26.69,48.66,938.895,0.789,1
26.72,48.44,938.894,0.806,1
26.77,48.25,938.902,0.352,1
26.8,48.05,938.902,0.99,1
26.84,47.95,938.902,0.243,1
26.87,47.84,938.918,0.693,1
26.9,47.72,938.916,0.25,1
26.94,47.63,938.922,0.888,1
26.96,47.55,938.929,0.918,1
26.99,47.5,938.917,0.097,1
27.01,47.45,938.921,0.412,1
27.01,47.38,938.926,0.053,1
27.04,47.31,938.935,0.85,1
27.06,47.22,938.933,0.773,1
27.09,47.21,938.932,0.747,1
27.11,47.15,938.921,0.732,1
27.11,47.09,938.907,0.171,1
27.12,47.03,938.899,0.401,1
27.14,47.05,938.905,0.156,1
27.15,47.04,938.905,0.447,1
27.16,46.96,938.92,0.754,1
27.18,46.93,938.918,0.268,1
26.02,46.94,938.907,0.44,1
25.6,47.64,938.911,0.418,1
25.4,48.49,938.921,0.854,1
25.28,49.27,938.924,0.777,1
25.19,49.92,938.923,0.358,1
25.12,50.43,938.925,0.767,1
25.06,50.89,938.922,0.543,1
24.99,51.17,938.926,0.773,1
24.93,51.49,938.921,0.964,1
24.89,51.77,938.923,0.81,1
24.86,51.95,938.925,0.084,1
24.83,52.13,938.918,0.775,1
24.8,52.29,938.914,0.255,1
24.76,52.43,938.91,0.797,1
24.78,52.5,938.912,0.929,1
24.72,52.62,938.906,0.556,1
24.69,52.75,938.912,0.697,1
24.66,52.79,938.895,0.473,1
24.65,52.86,938.894,0.876,1
24.62,52.96,938.896,0.652,1
24.62,53.01,938.895,0.509,1
24.59,53.05,938.899,0.066,1
24.58,53.14,938.905,0.645,1
24.57,53.17,938.907,0.641,1
24.52,53.25,938.911,0.133,1
24.51,53.27,938.927,0.705,1
24.49,53.32,938.929,0.247,1
24.49,53.35,938.921,0.044,1
24.47,53.4,938.926,0.1,1
24.48,53.4,938.926,0.638,1
25.68,53.46,938.928,0.703,1
26.06,52.72,938.93,0.294,1
26.3,51.73,938.926,0.88,1
26.35,50.9,938.929,0.401,1
26.44,50.25,938.927,0.72,1
26.53,49.7,938.928,0.715,1
26.6,49.24,938.933,0.914,1
26.65,48.89,938.928,0.852,1
26.69,48.59,938.921,0.247,1
26.74,48.39,938.919,0.173,1
26.8,48.19,938.917,0.035,1
26.83,48.06,938.917,0.05,1
26.85,47.9,938.906,0.248,1
26.91,47.8,938.916,0.172,1
26.92,47.68,938.917,0.686,1
26.92,47.59,938.92,0.344,1
26.96,47.51,938.912,0.512,1
26.98,47.4,938.904,0.234,1
27.01,47.38,938.906,0.107,1
27.02,47.32,938.914,0.959,1
27.05,47.23,938.907,0.221,1
27.08,47.23,938.915,0.851,1
27.06,47.2,938.912,0.922,1
27.08,47.1,938.912,0.591,1
27.09,47.07,938.909,0.484,1
27.11,47.07,938.904,0.77,1
27.14,46.99,938.91,0.304,1
27.16,46.96,938.915,0.83,1
27.18,46.92,938.917,0.222,1
27.18,46.92,938.918,0.637,1
26.06,46.89,938.915,0.372,1
25.61,47.61,938.912,0.756,1
25.43,48.48,938.907,0.522,1
25.3,49.24,938.912,0.909,1
25.2,49.9,938.911,0.831,1
25.12,50.41,938.912,0.308,1
25.05,50.84,938.91,0.086,1
24.99,51.22,938.913,0.159,1
24.96,51.49,938.92,0.107,1
24.89,51.75,938.906,0.068,1
24.85,51.98,938.906,0.651,1
24.82,52.14,938.902,0.501,1
24.79,52.3,938.906,0.184,1
24.76,52.42,938.906,0.555,1
24.72,52.53,938.906,0.545,1
24.71,52.62,938.904,0.747,1
24.68,52.74,938.905,0.763,1
24.66,52.81,938.902,0.618,1
24.65,52.87,938.897,0.238,1
24.62,52.93,938.906,0.406,1
24.59,53.02,938.907,0.801,1
24.58,53.05,938.9,0.562,1
24.59,53.13,938.906,0.176,1
24.54,53.21,938.902,0.711,1
24.54,53.26,938.909,0.658,1
24.52,53.27,938.908,0.622,1
24.49,53.32,938.904,0.146,1
24.49,53.33,938.919,0.255,1
24.47,53.44,938.923,0.627,1
24.47,53.48,938.925,0.286,1
25.67,53.53,938.921,0.101,1
26.05,52.76,938.931,0.139,1
26.22,51.79,938.927,0.067,1
26.33,50.98,938.928,0.791,1
26.43,50.33,938.931,0.292,1
26.5,49.77,938.928,0.611,1
26.56,49.33,938.937,0.479,1
26.63,49.02,938.937,0.533,1
26.67,48.74,938.922,0.124,1
26.71,48.48,938.929,0.087,1
26.77,48.31,938.927,0.377,1
26.8,48.13,938.935,0.778,1
26.84,47.99,938.929,0.846,1
26.88,47.9,938.917,0.967,1
26.88,47.77,938.909,0.278,1
26.9,47.64,938.909,0.44,1
26.94,47.59,938.913,0.023,1
26.95,47.48,938.911,0.742,1
26.98,47.46,938.898,0.247,1
26.98,47.39,938.9,0.37,1
27.01,47.29,938.898,0.231,1
27.05,47.25,938.909,0.142,1
27.05,47.24,938.93,0.781,1
27.06,47.18,938.93,0.102,1
27.06,47.16,938.928,0.592,1
27.08,47.11,938.921,0.694,1
27.11,47.07,938.92,0.088,1
27.11,47.06,938.927,0.013,1
27.14,47.02,938.932,0.179,1
27.14,46.94,938.927,0.799,1
25.99,46.94,938.921,0.84,1
25.6,47.69,938.923,0.1,1
25.4,48.59,938.914,0.438,1
25.24,49.3,938.91,0.525,1
25.19,49.94,938.913,0.184,1
25.13,50.47,938.919,0.986,1
25.06,50.9,938.92,0.701,1
25.0,51.26,938.922,0.857,1
24.95,51.54,938.926,0.688,1
24.9,51.79,938.929,0.96,1
24.87,52.02,938.916,0.982,1
24.83,52.15,938.912,0.163,1
24.8,52.32,938.918,0.422,1
24.75,52.45,938.917,0.758,1
24.72,52.54,938.912,0.969,1
24.72,52.64,938.915,0.033,1
24.68,52.74,938.908,0.251,1
24.66,52.83,938.911,0.381,1
24.65,52.9,938.921,0.023,1
24.61,52.96,938.908,0.136,1
24.62,53.06,938.896,0.674,1
24.58,53.08,938.906,0.771,1
24.58,53.17,938.901,0.078,1
24.57,53.19,938.886,0.544,1
24.54,53.23,938.9,0.333,1
24.52,53.28,938.895,0.679,1
24.51,53.33,938.885,0.385,1
24.49,53.36,938.896,0.974,1
24.49,53.4,938.904,0.296,1
24.49,53.43,938.904,0.574,1
25.68,53.48,938.906,0.546,1
26.06,52.73,938.911,0.614,1
26.23,51.74,938.914,0.363,1
26.39,50.92,938.903,0.473,1
26.46,50.25,938.905,0.739,1
26.53,49.69,938.913,0.715,1
26.6,49.27,938.912,0.172,1
26.63,48.91,938.908,0.325,1
26.71,48.64,938.893,0.249,1
26.72,48.39,938.896,0.51,1
26.77,48.25,938.887,0.099,1
26.8,48.08,938.908,0.832,1
26.84,47.94,938.91,0.056,1
26.88,47.83,938.908,0.626,1
26.92,47.75,938.916,0.659,1
26.92,47.65,938.909,0.174,1
26.95,47.57,938.916,0.797,1
26.98,47.48,938.909,0.013,1
27.02,47.38,938.905,0.91,1
27.04,47.36,938.911,0.93,1
27.06,47.28,938.911,0.941,1
27.09,47.21,938.904,0.296,1
27.08,47.2,938.904,0.08,1
27.08,47.11,938.914,0.609,1
27.09,47.08,938.919,0.611,1
27.12,47.01,938.922,0.434,1
27.14,46.99,938.933,0.928,1
27.15,46.94,938.929,0.832,1
27.15,46.89,938.917,0.04,1
27.18,46.89,938.913,0.63,1
26.0,46.88,938.915,0.255,1
25.62,47.59,938.916,0.815,1
25.41,48.48,938.915,0.327,1
25.27,49.24,938.908,0.318,1
25.22,49.88,938.916,0.06,1
25.13,50.42,938.917,0.496,1
25.06,50.79,938.92,0.71,1
25.02,51.21,938.917,0.516,1
24.93,51.47,938.914,0.64,1
24.92,51.71,938.907,0.915,1
24.9,51.94,938.913,0.587,1
24.83,52.11,938.911,0.66,1
24.8,52.26,938.919,0.952,1
24.79,52.38,938.925,0.587,1
24.75,52.47,938.913,0.587,1
24.73,52.58,938.911,0.694,1
24.69,52.67,938.904,0.404,1
24.68,52.75,938.908,0.16,1
24.66,52.81,938.902,0.843,1
24.64,52.93,938.905,0.185,1
24.61,52.97,938.907,0.916,1
24.58,53.02,938.896,0.485,1
24.58,53.09,938.898,0.626,1
24.58,53.15,938.894,0.655,1
24.55,53.19,938.901,0.056,1
24.55,53.22,938.907,0.287,1
24.54,53.25,938.913,0.396,1
24.51,53.34,938.91,0.367,1
24.52,53.35,938.904,0.574,1
24.48,53.44,938.901,0.418,1
25.71,53.46,938.887,0.891,1
26.08,52.67,938.894,0.801,1
26.26,51.76,938.906,0.208,1
26.36,50.95,938.906,0.23,1
26.46,50.22,938.908,0.81,1
26.54,49.69,938.913,0.033,1
26.6,49.28,938.903,0.7,1
26.65,48.91,938.904,0.903,1
26.69,48.63,938.902,0.587,1
26.74,48.45,938.912,0.231,1
26.75,48.23,938.907,0.901,1
26.81,48.08,938.91,0.45,1
26.83,47.99,938.915,0.595,1
26.87,47.86,938.921,0.387,1
26.9,47.76,938.908,0.567,1
26.91,47.69,938.905,0.223,1
26.95,47.57,938.891,0.273,1
26.98,47.48,938.892,0.849,1
26.98,47.44,938.889,0.49,1
27.02,47.39,938.887,0.077,1
27.04,47.33,938.886,0.796,1
27.04,47.25,938.889,0.742,1
27.08,47.16,938.898,0.964,1
27.09,47.14,938.897,0.029,1
27.11,47.08,938.902,0.924,1
27.12,47.09,938.906,0.809,1
27.15,47.01,938.905,0.007,1
27.14,47.05,938.903,0.269,1
27.16,46.99,938.896,0.291,1
27.18,46.95,938.902,0.872,1
26.02,46.91,938.892,0.147,1
25.61,47.65,938.897,0.327,1
25.41,48.55,938.897,0.107,1
25.28,49.27,938.897,0.372,1
25.22,49.95,938.889,0.134,1
25.14,50.41,938.9,0.676,1
25.06,50.86,938.895,0.398,1
24.99,51.19,938.891,0.082,1
24.96,51.48,938.881,0.019,1
24.93,51.74,938.884,0.389,1
24.87,51.93,938.882,0.331,1
24.86,52.14,938.89,0.797,1
24.79,52.29,938.897,0.97,1
24.79,52.41,938.897,0.55,1
24.76,52.52,938.899,0.182,1
24.71,52.61,938.901,0.609,1
24.68,52.68,938.899,0.94,1
24.68,52.79,938.892,0.985,1
24.65,52.88,938.88,0.877,1
24.62,52.96,938.892,0.626,1
24.61,53.05,938.889,0.04,1
24.57,53.06,938.891,0.827,1
24.57,53.14,938.875,0.111,1
24.55,53.13,938.883,0.348,1
24.55,53.21,938.888,0.845,1
24.54,53.3,938.887,0.403,1
24.51,53.33,938.888,0.302,1
24.49,53.38,938.893,0.6,1
24.49,53.39,938.893,0.502,1
24.47,53.42,938.889,0.891,1
25.71,53.51,938.89,0.591,1
26.08,52.74,938.891,0.324,1
26.23,51.77,938.89,0.769,1
26.37,50.96,938.892,0.6,1
26.46,50.27,938.887,0.607,1
26.53,49.71,938.886,0.254,1
26.58,49.29,938.891,0.136,1
26.65,48.92,938.893,0.008,1
26.69,48.65,938.885,0.17,1
26.71,48.4,938.881,0.151,1
26.78,48.27,938.885,0.788,1
26.83,48.08,938.892,0.949,1
26.84,47.96,938.899,0.251,1
26.87,47.9,938.885,0.229,1
26.92,47.71,938.889,0.095,1
26.94,47.67,938.882,0.394,1
26.94,47.58,938.874,0.14,1
26.96,47.49,938.873,0.818,1
27.01,47.43,938.874,0.043,1
27.02,47.37,938.878,0.284,1
27.04,47.27,938.885,0.782,1
27.04,47.28,938.888,0.419,1
27.06,47.18,938.882,0.356,1
27.09,47.16,938.873,0.356,1
27.11,47.13,938.866,0.34,1
27.14,47.11,938.871,0.924,1
27.12,47.05,938.878,0.974,1
27.15,47.0,938.881,0.945,1
27.14,47.01,938.88,0.304,1
27.16,46.96,938.872,0.485,1
26.02,46.94,938.869,0.011,1
25.6,47.66,938.878,0.572,1
25.4,48.53,938.882,0.333,1
25.27,49.33,938.878,0.927,1
25.22,50.0,938.878,0.232,1
25.12,50.49,938.881,0.842,1
25.07,50.91,938.878,0.321,1
24.99,51.25,938.888,0.867,1
24.95,51.48,938.888,0.5,1
24.89,51.79,938.871,0.187,1
24.85,51.99,938.875,0.393,1
24.83,52.15,938.873,0.512,1
24.79,52.31,938.864,0.966,1
24.76,52.45,938.877,0.416,1
24.73,52.59,938.879,0.276,1
24.72,52.66,938.897,0.931,1
24.68,52.74,938.893,0.972,1
24.69,52.84,938.891,0.998,1
24.64,52.92,938.88,0.608,1
24.62,52.98,938.877,0.993,1
24.59,53.06,938.878,0.503,1
24.58,53.07,938.872,0.603,1
24.58,53.15,938.869,0.491,1
24.54,53.2,938.873,0.699,1
24.52,53.24,938.873,0.067,1
24.52,53.32,938.877,0.284,1
24.51,53.33,938.864,0.584,1
24.48,53.37,938.87,0.949,1
24.47,53.42,938.866,0.283,1
24.47,53.47,938.858,0.668,1
25.68,53.52,938.86,0.48,1
26.08,52.75,938.868,0.196,1
26.23,51.83,938.867,0.556,1
26.35,50.94,938.852,0.827,1
26.43,50.3,938.857,0.131,1
26.51,49.8,938.857,0.895,1
26.56,49.34,938.854,0.118,1
26.64,48.98,938.859,0.178,1
26.69,48.7,938.867,0.761,1
26.74,48.49,938.858,0.759,1
26.77,48.26,938.856,0.224,1
26.8,48.15,938.869,0.02,1
26.85,47.99,938.871,0.69,1
26.87,47.83,938.872,0.908,1
26.9,47.77,938.868,0.199,1
